Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linehanson,linepig,linenutshell,lineexcel,linemore,linedunk,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesagr,linesagp,linepi,linemidweek,lineopen,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemed,linekerns,linejens,lineash,lineffw,lineburd,linecrunch,linedok,linepib,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,linegametime,lineexcel2,linelinx,lineturner2,linestjohn,lineppg,linel2to,lineherbert,linefeng,lineiron,linekalin,linestd,rscore,hscore,week
Denver,New England,-7,-7.85,-2.29,-6,,-6.66,-0.03,-5,-5.5,-15,-9.93,-14.92,-4.91,-7.16,-2.28,-8.87,-9.1,-6.09,-12.16,-10,-7,-7.42,-7.8,-9.96,-7.53,-4.1,-7,-7,-16.78,-9.15,-9.36,-6.36,-4.51,-8.2,-2,-7.51,-4.8,-7.39,-9.2,-5.3,-6.25,-4.8,-7.7,-1,-3,-12.1,-2,-8.61,-3.9,-5.5,-9,3.5,-1.3,-4.07,-9.53,-4.65,-6,-14,-5.18,,-6.94,-6.25,-0.91,-4.85,-5.5,-1.61,-5.46,3.9240442959,41,16,10
Detroit,Cleveland,10.5,15.75,11.46,16,,14.37,3.43,16,16.5,19,16.8,20.79,12.9,17.73,9.97,16.31,16.63,14.52,13.98,16,11,19.09,12.5,17.08,15.49,14.3,11,12,19.66,15.05,17.73,16.68,9.37,13,17.2,16.29,13.9,7,17.47,12.7,15.75,17.3,17.8,9,9,18.1,5,8.01,14.4,10.5,21,7.5,8.4,10.44,19.6,17.55,13,17,17.98,,14.61,12.88,6.08,8.3,11.7,5.93,13.16,4.2930447979,24,38,10
Indianapolis,Pittsburgh,-10.5,-10.14,-7.7,-10,,-10.04,-1.7,-6,-9.5,-20,-10.27,-17.13,-8.56,-10.7,-4.16,-10.61,-15.97,-7,-13.39,-6,-10.5,-14.6,-9.8,-7.86,-11.71,-9.8,-10,-10,-15.54,-13.15,-11.68,-10.11,-10.29,-9.6,-6.23,-13,-9.7,-12.09,-15.05,-8.8,-10.14,-17.7,-10.8,-8,-4,-9.9,-8.4,-10.55,-10.3,-5.5,-16,1,-10.6,-14.88,-11.32,-11.6,-9,-19,-6.46,,-11.52,-0.88,-7,-8.71,-10.2,0.91,-8.21,4.373565635,20,17,10
Jacksonville,LA Chargers,5.5,4.88,12.15,6,,7.19,6.75,4,15.5,-2,5.51,10.73,11.76,7.84,8.43,2.93,12.03,7,4.07,7,5.5,13.72,3.9,6.08,6.93,3.4,3.5,4,2.55,8.45,6.69,8.55,12.56,3.7,6.5,5.89,3.6,3.93,14.72,7.4,6.75,9.9,11.3,7,2,8.3,9,5.82,3.4,3,17,5,9.2,4.95,13.09,11.6,5,1,3.31,,8.25,9,7.66,6.02,4.8,0.88,4.46,3.87427506,17,20,10
LA Rams,Houston,12.5,5.41,6.66,10,,8.02,5.56,9,-5,1,6.16,10.45,9.44,11.79,8.92,2.97,10.12,16.19,8.62,7,11.5,11.68,11.6,10.11,6.94,6.2,11,10,8.42,6.45,4.31,9.93,8.19,11.1,7.24,10.49,5.7,7.95,14.09,5.1,8.19,12.2,13.6,5,2,17.3,14.5,10.37,7,4,12,-0.5,1.9,7.52,12.25,14.45,11,10,3.98,,12.98,6.25,7.37,11.71,4.7,-0.63,5.19,4.417005152,7,33,10
San Francisco,N.Y. Giants,-3,-4.43,-0.72,-2,,-2.43,0.46,-3,0.5,-17,-0.39,-6.59,2.5,-1.58,2.6,-6.96,-1.92,1.43,-7,-1,-3,0.87,-1.8,-5.2,-2.52,-2.5,-2.5,-1,-4.64,-0.85,-4.95,-1.02,0.16,-2.7,-3.41,-0.9,-2.6,-7,-0.64,-2.1,-1.8,-0.7,-0.3,-1,-2,-4.2,0.9,-1.66,-2.5,2,-1,3,1,-3.93,-12.98,-4.3,-1,-13,-7.38,,-0.69,1.76,-2.34,-6.45,-2.1,-1.35,-2.43,3.4871682219,21,31,10
Tampa Bay,N.Y. Jets,0,4.09,-3.25,0.25,,1.87,-0.69,3,6.5,20,-0.73,-1.92,0.55,-1.55,1.2,8.47,1.37,-0.28,7,5,0,1.68,-2.5,-4.91,4.16,4.4,-2.5,0,-1.42,-1.15,1.8,0.74,-1.94,-2.6,1.44,5.09,4.9,0.85,0.95,6.5,1.2,3.6,2.9,2,1,-3,0.9,0.57,3.8,4,0.01,1.5,-2.8,6.16,-2.43,-2.95,0.01,21,4.36,,0.12,0.53,2.48,-2.94,3.5,5.01,1.79,3.8096503189,10,15,10
Tennessee,Cincinnati,4,3.66,4.82,4,,4.3,3.97,5,2,16,6.37,4.52,5.36,3.64,4.02,3.93,2.99,1.94,-0.31,1,4,5.06,4.2,3.71,3.4,3.8,4.5,4,5.26,4.85,4.42,5.51,1.44,3.3,5.19,5.59,2.9,6.28,3.96,3.4,4.1,2.4,7,0.01,-2,4.8,3.7,3.35,3.7,5.5,5,6.5,4.1,5.01,9.47,5.3,6,6,4.01,,3.27,8.5,-1.96,4.29,6.1,0.57,3.96,2.5947159092,20,24,10
Washington,Minnesota,-1.5,-1.07,-4.09,-2,,-0.96,-4.46,1,-11,8,-1.55,-4.96,-3.34,-1.09,-0.78,-0.74,-3.3,-4.97,-7.79,0.01,-1.5,1.14,-1.4,-1.33,-1.3,1.7,-1.5,-2.5,1.04,-4.75,-2.94,-1.59,-1.35,-1.2,-1.61,-0.51,1.6,-3.26,-1.91,-0.5,-1.09,-2.5,1.7,0.01,-1,0.1,-1.8,0.11,1.6,-0.5,0.01,3.5,-1.3,-0.17,-5.12,0.9,-1,7,-1.27,,-1.24,1.75,-2.76,-2.27,1,2.71,0.37,2.7193543865,38,30,10
Chicago,Detroit,-3,-3.51,0.03,-2,,-2.75,-0.91,-2,-6,-14,-4.15,-0.78,-3.66,-2.95,-1.38,-3.89,-4.76,3.66,-5.86,-4,-3,-1.81,-2.8,-2.84,-3.53,-4.5,-3,-3,-4,-3.52,-3.94,-1.17,-6.46,-2.6,1.52,-1.22,-4.6,-1.47,-2.79,-2.5,-2.82,-3.6,-2.6,-1,-3,-3.4,3.2,-0.86,-4.4,-1,-3,-1.5,-4,-4.05,,-1.65,-2.5,-5,-0.01,,-2.66,-8.44,-0.37,-5.07,-1.3,0.31,-3.76,2.6295113294,27,24,11
Cleveland,Jacksonville,-7,-11.99,-12.42,-13,,-10.81,-2.9,-8,-16.5,-6,-10.33,-18.94,-12.35,-13.03,-7.43,-10.93,-7,-7,-7,-11,-7.5,-16.23,-8.6,-14.65,-13.3,-7.7,-7.5,-9,-11.11,-13.92,-15.84,-14.14,-11.91,-9.8,-10.33,-12.02,-7,-7,-18.48,-8.8,-10.72,-17.8,-14.1,-7,-5,-12.2,-8.2,-8.26,-7.9,-3.5,-21,-2,-10.4,-8.57,,-16.1,-9,-11,-12.09,,-10.51,-7.22,-9.31,-9.95,-7.8,0.26,-7.91,4.4896468407,19,7,11
Dallas,Philadelphia,-6,-1.75,-5.02,-5,,-1.78,-0.18,-1,6.5,9,-4.17,-4.64,-1.81,-2.32,-1.05,-0.83,-5.01,-7.67,6.51,0.01,-5,-2.97,-3.2,-4.64,-1.62,-0.9,-4,-3.5,-2.49,-3.12,-1.99,-3.82,-2.5,-2.8,-0.71,0.17,-0.1,-8.61,-4.57,1.3,-1.99,-6.4,-1.8,-1,2,-4.7,-3.8,-1.58,-2.2,0.5,-5,0.5,-3.9,-0.49,,-4.9,-2,9,-0.27,,-3.11,-3.56,-4.49,-5.17,-0.3,3.9,0.77,2.9065308095,37,9,11
Denver,Cincinnati,2.5,2.56,4.85,2,,1.11,3.52,1,-4,-2,2.09,-1.55,0.56,-1.87,1.16,3.89,-0.97,-2.12,1.46,-2,2.5,1.72,1,-0.67,2.17,1.6,2.5,2.5,-2.26,1.18,1.75,3.01,3.4,-0.6,2.91,1.77,0.6,3.71,-0.49,1.5,1.58,8,0.9,2,3,-5.8,-0.1,0.97,1.6,1.5,2,5.5,1.9,4.81,,1,0.01,-4,2.44,,1.56,3.89,-0.04,1.89,2.2,2.53,1.69,2.3630742831,20,17,11
Green Bay,Baltimore,-2.5,4.49,1.49,4,,2.87,-2.85,4,11.5,-1,4.79,2.02,1,2.87,1.71,6.66,2.71,3.33,5.74,2,-1,5.4,-0.1,2.51,3.48,-0.1,-2,-2.5,6.19,2.78,4.55,6.33,-1.08,1.9,3.36,0.97,-0.4,6.16,4.19,4.4,2.83,4.4,5.8,2,7,1.7,2.8,-2.02,-0.4,1.5,6,5.5,2.9,2.11,,4.25,-2,6,5.06,,0.33,3.56,-0.91,-1.88,5.1,4.09,0.92,2.6744332859,23,0,11
Houston,Arizona,2.5,5.28,3.11,4,,4.99,-0.67,5,9,-1,6.54,12.54,8.36,3.87,7.37,3.84,8.86,7,11.71,7,2.5,10.14,1.1,3.48,7.43,3.9,1.5,0,3.97,5.08,2.5,3.84,7.54,3.7,0.56,-0.23,4.1,6.82,8.47,6.3,4.55,9,4,5,2,8.4,-0.6,-0.27,3.6,8,9,5.5,-1,7.85,,6.4,1.5,6,1.37,,3.76,11,9.17,3.14,5.5,0.01,3.82,3.4912100591,21,31,11
LA Chargers,Buffalo,6.5,3.65,5.28,0.25,,3.63,1.82,6,3,7,3.03,-2.5,3.56,4.98,3.29,2.58,2.46,-2.98,0.46,6,6,3.31,4.8,3.14,4.72,9.1,4,3.5,7.42,0.48,1.94,0.57,-0.06,5.6,-0.8,2.48,8.6,-2.85,4.51,5.2,3.3,9.2,4.1,3,1,14.1,9,3.08,8.9,0.5,4,3,-8.2,11.67,,5.15,5,5,1.06,,3.23,0.11,5.78,6.96,4.4,2.82,4.63,3.7275840471,24,54,11
Miami,Tampa Bay,-2,-1.11,-1.61,1,,-0.28,-0.67,0.01,-4,5,-1.53,3.17,-1.31,-0.34,0.28,-0.25,-3.98,-1.34,-0.09,-3,-2,0.67,0.6,-1.15,-2.37,-2,0,1.5,-3.45,-0.32,-0.26,2.1,-0.24,-0.3,7.68,0.28,-1.8,1.51,-3.99,-0.4,-0.34,-2.3,1.8,0.01,-1,-3.9,-1.6,-0.77,-2.4,3.5,-1,4,2.1,-0.06,,-0.45,-1,-3,4.51,,-0.17,-2,-1.65,-2.7,1.1,,0.42,2.3721542368,30,20,11
Minnesota,LA Rams,1.5,2.77,3.01,3,,0.62,1.79,1,-2.5,-3,2.55,0.28,-1.13,0.19,-0.74,5.56,-1.86,-9.61,3.96,0.01,1.5,-0.58,-0.1,1.91,-0.46,0.4,2.5,1.5,2.96,2.38,1.83,2.58,-5.03,-2.7,2.64,2.18,0.7,8.47,-3.72,1.7,0.9,-1.1,3.7,0.01,3,-6.3,3.8,0.5,0.3,3.5,-3,3.5,1,3.73,,-2.45,2.5,3,4.03,,0.32,-6.78,0.8,-0.68,3.6,7,1.73,3.1024552784,7,24,11
N.Y. Giants,Kansas City,-10,-8.39,-7.9,-12,,-8.97,-1.18,-5,-15,-20,-11.86,-10.88,-7.21,-9.62,-4.55,-8,-13.01,-16,-7,-9,-10,-12.06,-9.3,-7.94,-9.49,-7.5,-10,-12.5,-10.72,-11.72,-10.67,-9.85,-10.18,-8,-5.88,-7.52,-7.6,-16.12,-11.94,-5.4,-9,-13.6,,-6,-7,-11.7,-8.9,-7.82,-8.3,-6.5,-16,-1.5,-13.2,-4.4,,-4.5,-7.5,-14,-0.68,,-10.33,-9.44,-9.23,-10.34,-5.7,0.48,-5.89,3.8877241308,9,12,11
New Orleans,Washington,9.5,10.13,11.57,12,,11.18,11.2,11,23,5,15.35,15.31,12.17,13.21,10.25,8.72,13.77,16.33,5.06,15,9.5,14.2,9.6,11.35,11.37,12.7,7.5,8,19.21,11.48,11.21,12.29,11.48,11.2,6.46,9.98,11.9,10.6,14.87,9.2,11.28,16.1,14.6,8,4,18.4,9.7,8.38,13.5,6,14,5.5,3.6,9.27,,13.05,10,6,7.16,,9.42,8.78,12.05,7.93,7.3,2.77,8.78,3.9060885479,31,34,11
Oakland,New England,-7,-9.83,-7,-10,,-8.59,-1.85,-7,-14,-1,-12.61,-12.9,-5.92,-9.82,-4.37,-10.64,-10.92,-9,-14,-14,-7,-11.64,-8,-10.36,-9.86,-4.4,-6.5,-5,-15.93,-10.5,-12.47,-9.28,-8.75,-9.5,-3.95,-10,-4.2,-2.23,-12.94,-8.2,-8.78,-16.3,-8.8,-6,-7,-15.4,-2.4,-6.81,-5,-8,-11,1,-5.4,-4.33,,-22.3,-4.5,-7,-4.5,,-7.97,-8.89,-4.75,-4.46,-7.5,-2.55,-7.82,4.3314303358,33,8,11
Pittsburgh,Tennessee,7,8.73,9.28,8,,8.65,0.16,8,12,12,8.66,14.75,7.46,10.96,5.69,9.31,9.1,12.33,7,9,7,11.88,7.4,8.39,8.64,9.5,7,7,13.8,7.68,8.49,7.95,7.25,7.8,5.31,9.28,9.9,8.59,9.6,8.9,8.57,12.7,12.1,8,9,11.8,9.5,7.72,9.8,5,11,1,3.4,9.81,,8.3,7,13,6.1,,7.4,0.01,8.27,5.36,7.9,5.68,8.41,3.0437116496,17,40,11
Seattle,Atlanta,1,2.07,5.17,2,,2.44,1.35,4,6,7,1.48,10.49,5.4,0.48,4.59,2.05,0.39,-4.67,-0.49,0.01,1,2.65,1.8,1.22,2.33,2.1,3,3,-0.83,0.28,-0.49,3.18,6.41,0.5,4.51,0.18,2.5,-2.03,2.36,5.2,2.17,-1.5,3.5,3,2,-0.7,0.5,2.28,1.7,5,2,-2.5,5.3,6.91,,4.85,3.5,4,3.17,,2.24,3.56,-3.89,1.48,2.1,0.95,2.28,2.9164999895,34,31,11
Arizona,Jacksonville,-6,-6.16,-8.29,-7,,-7.07,-3.64,-3,-8.5,-1,-7.95,-11.18,-9.84,-8.15,-6.01,-2.61,-16.19,-11.91,-7,-6,-6,-11.09,-6.1,-7.28,-9.58,-3.7,-5.5,-5,-7.16,-9.91,-9.3,-6.96,-13.36,-7.8,-0.99,-4.83,-3.5,-10.79,-14.52,-4,-7.16,-15.2,-7.9,-4,3,-11.7,-9.3,-5.04,-4.1,0.01,-17,3,-4.6,-6.29,-9.87,-10.4,-5.5,-15,1.03,,-11.93,-4.9,-11.23,-8.66,-4.7,6.19,-3.62,4.7549976989,24,27,12
Atlanta,Tampa Bay,10.5,7.12,4.48,7,,8.24,4.74,10,5.5,15,9.3,12.03,6.28,8.44,5.33,6.7,6.15,12.07,6.13,11,10,8.85,8.8,9.81,6.78,9.5,9.5,10,10.52,5.89,7.95,7.2,4.74,7.5,7.41,9.47,9.4,4.42,7.37,7.1,8,11.1,9.6,6,6,13.5,10.2,6.68,9.6,7,11,8,4.8,9.74,9.88,8.1,8.5,10,6.23,,5.93,4.8,8.33,9.28,7.7,6.48,8.39,2.3322563555,20,34,12
Baltimore,Houston,7.5,5.78,6.84,6,,5.99,1.99,8,-5.5,13,5.65,3.07,6.05,7.88,5.31,4.83,6.46,5,5.15,9,7.5,6.05,6.8,7.61,6.12,10.4,7,7,6.98,5.09,5.81,5.95,6.71,6.6,5.49,9.47,10.8,6.98,7.4,5,6,4.5,11.7,4,5,13.1,6.3,5.94,10.5,-0.5,6,-1.5,1,6.95,8.86,7.75,12,12,4.07,,4.95,-3.4,2.23,6.67,4.7,3.76,5.86,3.5498243189,16,23,12
Cincinnati,Cleveland,7.5,10.44,1.19,9,,8.82,-3.38,11,8,17,8.38,13.16,7.9,9.63,6.85,12.32,7.17,5,3.51,12,7.5,10.23,7.9,11.99,8.92,9.5,8,9,11.56,5.99,9.71,10.73,2.4,7.2,15.69,10.38,9.5,7,7.33,10.5,9,4,12.7,7,9,8.1,4.1,6,9.5,9.5,11,2.5,3.5,8.81,19.67,9.25,11,16,15.87,,5.28,3.9,3.58,5.13,7.4,7.76,9.5,4.0016122725,16,30,12
Dallas,LA Chargers,-1.5,2.38,2.79,2,,2.42,0.99,1,6,7,1.74,9.03,1.14,-0.16,1.6,4.55,-0.76,9,3.85,1,-0.5,2.87,-1.4,0.17,1.26,1.1,-2,1,0.73,1.39,2.68,3.21,0.67,-2.8,6.68,4.07,1.2,2.67,-0.06,3.8,2,0.01,3.1,3,2,-9,-1.1,2.22,0.8,5.5,1,4.5,3.2,2.16,4.76,1.9,1,8,7.03,,-0.35,4.1,1.93,-1.19,2.5,4.39,2.34,2.9945383563,28,6,12
Detroit,Minnesota,-2.5,-0.51,-5.56,-3,,-0.82,-1.62,0.01,7,2,-0.05,-1.71,0.29,-1.73,0.78,-0.71,-2.77,-4,-3,0.01,-2.5,-0.42,-4,-2.49,0.05,2.1,-3,0,-3.18,-2.51,-1.8,-2.38,0.4,-5.1,-0.4,-0.53,2.6,-1.75,-2.76,0.8,-0.51,-3.3,0.2,1,1,-5.5,-5.8,1.35,1.5,0.5,-3,2.5,1,-1.15,-2.24,-0.35,-1,2,1.06,,-4.13,5,-3.9,-2.36,0.01,1.46,0.49,2.5187929494,30,23,12
Indianapolis,Tennessee,-3.5,-2.75,-2.51,-4,,-2.32,1.57,0.01,-4,-4,0.13,-3.93,-1.32,0.56,-0.87,-3.26,-4.68,-1.19,1.33,2,-3.5,-4.14,-2.3,-1.45,-3.33,-0.5,-3.5,-3,-0.43,-3.81,-2.26,-3.46,-2.23,-1,-3.56,-4.33,-0.4,-4.15,-3.74,-1.7,-2.51,-7.5,-1.6,-1,3,5.1,-3.8,-3,-0.1,-3.5,-5,-1,-7.2,-4.48,-6.22,-2.65,-4,-1,-1.92,,-4.49,-2.3,-7.81,-4.92,-3.5,3.95,-0.6,2.5668581976,20,16,12
Kansas City,Buffalo,8,9.62,7.02,8,,9.27,5.26,10,2.5,15,7.91,6.77,8.51,8.1,7.15,10.17,11.51,10.08,14.99,13,8,12.57,8.2,5.45,11.09,12.1,9.5,10,6.26,8.09,9.29,7.84,7.81,6.4,4.65,9.77,12.1,3.87,12.94,11.5,9.29,16.1,10.9,9,6,13,7,9.41,12,6,13,4.5,12.7,14.42,10.72,10.35,10.5,15,4.63,,11.41,7.4,8.48,8.27,10.6,5.08,8.77,2.9337111321,16,10,12
LA Rams,New Orleans,3,-2.58,-3.65,-2,,-1.06,-3.03,2,-4.5,-7,-3.5,1.57,3.64,-1.52,3.53,-4.33,-1.68,9.11,-6.12,-2,2,1.17,0.4,-2.62,-0.69,-1.1,2.5,2.5,-6.68,-3.41,-4.07,-1.99,-0.57,-1.7,2.34,-0.72,-0.8,-7.41,0.99,2.1,-1.2,-4,-2.1,0.01,-2,,-3.8,2.75,-1.3,3,0.01,-3.5,-1,0.27,-2.79,2.15,1,-6,-0.57,,0.92,2.1,-3.55,5.48,-0.8,-2.06,-0.42,2.8196451051,20,26,12
N.Y. Jets,Carolina,-6,-6.74,-6.06,-5,,-4.7,-1.45,-2,0.01,-8,-5.02,-4.96,-1.14,-4.36,0.27,-9.86,-7.87,-10,2.66,-4,-6,-5.75,-4.7,-2.42,-6.41,-4,-4.5,-4,-6.92,-5.61,-6.67,-5.6,-4.74,-4.9,-2.33,-5.03,-3.9,-7.32,-7.07,-5.2,-4.96,-11.3,-5.4,-4,1,,-3.8,-4.86,-4.4,-1,-9,2.5,-6.2,-6.56,-7.32,-7.25,-5,-2,-2.2,,-6.38,0.8,-10.09,-3.49,-3.9,-0.18,-2.87,2.9498085083,35,27,12
New England,Miami,16.5,17.55,11.32,14,,16.47,7.43,17,22.5,7,24.35,24.69,14.95,18.44,12.21,17.76,7,7,12.16,25,16.5,19.7,17.2,17.77,18.72,19.5,16,17,31.27,14.89,18.72,15.9,13.33,18,7.89,18.97,19.3,10.51,21.87,17.8,17.3,19.3,17.3,13,14,30.3,10.7,13.19,20.2,11,23,3.5,6,18.73,16.89,20.15,18.5,24,9.4,,18.5,15.3,12.01,11.88,14.1,8.64,16.21,5.8713794038,17,35,12
Oakland,Denver,4,4.21,4.24,4,,4.66,1.66,5,8.5,21,4.57,7.78,5.18,5.02,4.41,4.28,4.01,3.01,12.53,4,4,6.16,5,5.8,3.89,4.8,5,5,9.17,2.69,4.23,4.95,-0.6,5,5.8,5.77,5.3,4.74,4.13,4.8,4.4,-2.9,7,1,1,6,3.4,3.25,4.4,3.5,5,0.01,-1.1,7.18,6.32,2.75,6,12,6.38,,3.23,4.1,1.58,3.43,5.2,1.74,3.9,3.2030535299,14,21,12
Philadelphia,Chicago,13.5,13.46,15.76,13,,13.95,5.44,14,8,18,19.85,22.34,13.9,13.37,11.49,13.77,14.83,16.18,7,19,13.5,15.78,13.4,13.62,13.38,17.3,13.5,13,20.9,9.79,12.63,14.69,12.14,13.2,11.21,13.87,15.5,11.31,15.1,12.9,13.77,14.6,15.5,10,12,21.6,8.9,10.09,18.5,11,17,8,12.1,18.39,15.13,15,16,14,9.97,,12.1,16.6,8.67,10.07,10.6,6.31,13.23,3.7930831102,3,31,12
Pittsburgh,Green Bay,14,7.71,9.74,7,,9.58,2.78,10,9,9,11.49,10.92,9.6,11.64,7.46,6.41,8.13,13.13,7.93,10,13,10.73,12.8,12.59,7.37,11.8,14,13.5,15.97,7.69,7.79,8.34,3.91,11.5,7.25,12.17,11.4,6.88,9.12,7.8,9.74,7.8,12.9,6,7,18.7,13,11,12.5,10.5,11,3.5,11.8,12.09,11.7,8.5,14.5,13,5.38,,7.74,4.3,7.87,12.83,8,3.02,11.1,3.1681552203,28,31,12
San Francisco,Seattle,-6.5,-9.82,-1.42,-9,,-8.01,-1.35,-7,-7,-10,-6.91,-18.72,-5.79,-6.85,-3.51,-12.36,-8.82,-5,-13.81,-10,-6.5,-7.22,-7.4,-7.64,-9.11,-7.5,-6.5,-7,-11.33,-6.61,-9.58,-8.41,-10.65,-7.9,-9.83,-10.03,-8,-11.79,-8.21,-8.3,-7.9,-11.7,-8.6,-7,-7,-11.2,-2.5,-3.26,-7.2,-6.5,-11,-0.5,-10.4,-8.75,-10.21,-6.45,-8,-12,-7.17,,-8.1,-4.8,-5.78,-5.42,-6.6,-3.13,-7.45,3.3726348278,24,13,12
Washington,N.Y. Giants,6.5,6.65,3.76,9,,8,2.27,6,14,-4,11.55,14.52,7.31,9.89,6.85,5.73,10.07,12.51,-0.92,9,6.5,11.76,7.7,7,7.39,6.9,7,7.5,9.62,7.69,6.81,9.23,5.93,8.5,9.51,6.17,6.7,10.18,11.38,5.2,7.69,11.8,11.9,6,1,16.3,10.1,4.97,7.3,7,14,7,12.8,6.2,12.79,8.35,7.5,-8,7.91,,9.56,9.6,9.45,2.48,4.8,2.89,6.02,3.6045385487,10,20,12
Arizona,LA Rams,-7,-5.6,-7.7,-8,,-7.43,0.19,-5,-12.5,-14,-7.7,-17.68,-9.16,-8.8,-6.66,-2.13,-14.67,-7,-5.59,-7,-7,-11.03,-8.4,-6.49,-9.32,-5.7,-6.5,-7,-7.96,-8.23,-8.02,-7.12,-11.53,-9.9,-1.69,-5.31,-4.9,-8.21,-14.77,-3.7,-7.7,-13.7,-6.6,-4,3,-12.8,,-5.76,-6.6,-3,-15,4,-5.3,-6.67,-8.91,-10.75,-5,-9,-0.45,,-10.47,-10.7,-10.74,-9.6,-3,8.54,-3.43,5.040034191,32,16,13
Atlanta,Minnesota,3,0.54,-3.77,-3,,-0.19,-1.33,1,-9,3,-0.46,-3.63,-0.5,-2.58,0.46,1.09,-2.61,-1.43,2.88,3,2.5,-1.29,0.1,-0.94,0.31,2.5,3,3,1.19,-3.53,-1.61,-2.56,-2.17,-2.8,0.83,2.48,2.7,-0.31,-3.97,1.5,0.1,-4.1,-0.5,2,4,-2.7,-0.4,3.43,2.1,2,-4,5.5,1,1.12,-3.93,-3.45,2,6,2.62,,-1.13,1,0.47,3.63,1.2,6,2.04,2.8166056238,14,9,13
Baltimore,Detroit,3,2.69,3.23,2,,1.87,6.46,5,-8,-8,1.88,-2.84,4.08,1.73,3.83,1.94,-0.31,3.66,-10.03,6,3,2.49,2.8,4.22,2.94,5.3,3,3,3.5,-0.23,0.27,1.47,4.49,2.6,2.93,3.19,5.4,-3.51,1.7,4.2,2.49,-2.8,4.5,3,3,5.7,0.8,1.66,5.3,0.5,1,1,-1,2.99,0.99,1.55,5,3,1.03,,1.81,-3.8,-1.14,0.96,1.6,3.74,3.18,2.9872001181,20,44,13
Buffalo,New England,-9.5,-9.23,-3.18,-7,,-7.91,-5.05,-7,-0.5,-21,-8.01,-9.16,-5.05,-7.29,-3.51,-10.88,-10.31,-6.71,-7,-13,-9.5,-7.3,-8.7,-5.9,-9.76,-8.9,-8.5,-9,-13.87,-6.83,-8.33,-6.97,-6.39,-8.9,-1.43,-8.52,-8.5,-4.98,-10.96,-8.9,-8.33,-10.5,-7.7,-6,-6,-11.1,-8.9,-9.1,-9,-1.5,-11,0.5,-4.5,-9.05,-7.49,-8.75,-9,-22,-4.52,,-8.48,-6.2,-8.86,-7.85,-6.4,-2.78,-6.9,3.4158550678,23,3,13
Chicago,San Francisco,3.5,7.58,9.1,8,,7.65,0.19,7,13.5,18,9.86,15.39,5.17,9.55,4.97,8.91,8.04,6.33,9.62,7,4.5,10.46,4.8,7.32,7.15,6.2,3,5,9.68,7.27,8.3,9.73,2.09,6.2,7.76,6.59,6.4,14.63,8.7,6,7.15,10.4,11.5,5,4,10.7,7,4.6,6.5,5,11,1.5,1.7,6.62,13.36,9.9,3.5,16,8.5,,4.43,2,6.76,-4.04,6.8,3.34,4.99,3.5403078549,15,14,13
Cincinnati,Pittsburgh,-4.5,-6.3,-5.48,-6,,-5.73,-4.21,-3,-12,-5,-5.18,-11.28,-4.25,-6.33,-1.56,-7.15,-8.25,-9.7,-9.79,-2,-4.5,-6.62,-5.8,-6.27,-5.85,-4.8,-5,-5.5,-9.91,-8.13,-8.1,-6.18,-6.22,-6.2,-3.29,-6.92,-4.3,-9.41,-7.44,-3.4,-5.85,-9.4,-6.9,-3,-1,-5.3,-5.4,-6.45,-5.1,-1.5,-9,-2.5,-7.7,-4.31,-9.12,-5.5,-4,-2,-3.12,,-5.94,-3.8,-3.83,-2.79,-6.3,1.72,-4.3,2.6849806343,23,20,13
Dallas,Washington,-1.5,1.6,0.13,0.25,,1.18,-0.47,0.01,11,-5,1.01,7.52,4.73,-1.59,4.39,3.13,-1.49,8.14,-8.81,1,-1,0.38,-0.9,-1.45,1.26,2.8,-1.5,1,3.42,0.07,-0.46,0.34,-0.23,-3.3,4.48,2.98,3,-0.72,-1.25,4.1,0.94,-2.5,1.2,2,1,-5.9,0.4,-0.57,2.4,5.5,-3,0.01,-2.4,3.3,0.94,0.6,1.5,-4,4.21,,-0.37,2.4,0.55,-2.98,1.8,4.02,1.46,3.1039824807,14,38,13
Green Bay,Tampa Bay,2.5,4.21,-1.98,5,,4,1.37,4,8,3,5.96,10.15,2.94,3.19,3.11,5.4,4.08,6.91,7.23,3,2.5,5.45,1,0.85,4.31,3.6,0,-2,3.14,4.17,3.93,5.21,7.06,2,4.08,4.09,4.2,2.85,5.41,6.3,4.08,3.6,4.6,5,6,4.5,2.9,0.9,3,1.5,7,5.5,-1.1,3.26,7.22,7.9,1,1,2.45,,2.39,2.1,4.08,0.38,5.8,4.49,2.15,2.3537408744,20,26,13
Jacksonville,Indianapolis,9.5,12.13,10.29,13,,12.03,5,9,18.5,2,13.89,18.24,16.82,11.01,13.12,9.86,7,16.75,14.64,12,9.5,21,8.7,9.41,15.75,10.5,9.5,9.5,11.07,13.17,12.93,13.61,16.62,7.9,9.57,15.08,10.4,8.35,20.13,12.6,12,23.1,14.9,11,4,10.3,12.8,10.69,10.8,7,23,4.5,7.3,17.83,16.8,17,12.5,1,7.34,,12.66,8.6,15.51,8.11,11.5,0.65,9.27,4.8552339378,10,30,13
