Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linehanson,linepig,linenutshell,lineexcel,linemore,linedunk,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesagr,linesagp,linepi,linemidweek,lineopen,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemed,linekerns,linejens,lineash,lineffw,lineburd,linecrunch,linedok,linepib,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,linegametime,lineexcel2,linelinx,lineturner2,linestjohn,lineppg,linel2to,lineherbert,linefeng,lineiron,linekalin,linestd,rscore,hscore,week
Tampa Bay,Chicago,7,9.84,6.43,4,5.33,8.63,,10,8,9,13.5,13.29,8.72,10.3,6.49,9.9,8.5,11,8.54,13,7,,6,9.91,9.8,9.3,7,5.5,,,9.86,,9.53,5.4,16.47,7.63,8,5.45,7.54,8,8.25,4.6,12.8,4,3,13.1,5.2,7.84,9.9,5.5,,4.5,7.8,10.08,16.29,3.3,8,9,15.47,,7.88,6.69,3.49,1.79,7.8,5.66,7.16,3.339690898,7,29,2
Arizona,Dallas,-2.5,-1.44,-3.08,2,3.84,0.03,1.16,1,-4,-13,-1,1.73,3.27,-0.16,3.28,-1.43,0.07,0.6,4.47,4,-2,,-1.9,-1.35,-1.5,-0.2,-3,-3.5,-0.11,,-0.32,,3.44,-0.8,4.14,-2.04,1.1,-3.47,-2.83,2,-0.11,-2.3,0.5,2,3,1.9,2.9,-2.64,-0.2,-1.5,-1,4.5,-1.5,0.05,-6.82,-0.35,2,-3,-0.12,,1.15,3.5,0.92,-3.3,0.4,2.69,-0.58,2.9178188201,28,17,3
Buffalo,Denver,-3.5,-2.69,2.7,-2,-1.22,-3.7,5.68,-5,0.01,-3,-2.08,-6.19,-3.37,-4.27,-0.3,-2.25,-11.94,-12.63,12.05,-5,-3.5,,-4.2,-2.43,-2.88,-4.1,-3,-1,-2.46,,-3.83,,-7.44,-5.5,-2.66,-0.74,-2.4,-7,-9.52,-2.8,-3.45,-8.8,-6.8,-4,2,-9.5,-3.5,-5.27,-4.4,-1,-5,3,-5,-1.05,-5.6,-3.45,-2.5,4,-3.67,,-2.61,-19,-9.67,-4.18,0.9,1.52,-2.45,4.1038456509,16,26,3
Carolina,New Orleans,4.5,5.21,1.23,7,5.5,7.58,13.62,7,7,2,7.17,7.19,25.58,10.43,19.55,4.61,9.94,9.07,13.75,6,4.5,,7.5,4.92,5.45,6,5.5,6,6.74,,5.03,,1.04,9,19.36,4.96,6,6.24,11.27,8,6.5,8.3,15.1,7,5,5.5,5.1,3.87,6.4,6.5,23,-1,3.2,8.56,7.41,22,8,2,5.15,,4.99,-1.5,10.77,5.87,4.6,2.5,6.92,5.5261715796,34,13,3
Chicago,Pittsburgh,-7,-7.45,-5.97,-6,-10.6,-8.57,-4.38,-9,-8,-8,-11.96,-12.45,-16.83,-9.43,-9.14,-7.14,-5.31,-4.94,-7,-10,-7,,-9.1,-7.27,-7.6,-10.5,-7,-8,-19.08,,-7.84,,-11.67,-10.7,-13.36,-12.04,-10.3,-8.01,-10.59,-9,-9,-10.9,-11.3,-6,-6,-13.2,-5,-11.49,-10.8,-6,7,0.01,-11.2,-7.82,-11.89,-15.15,-7.5,1,-11.81,,-8.77,-9.5,-1.13,-6.25,-6.7,-2.53,-7.65,4.1562894382,17,23,3
Detroit,Atlanta,-3,-1.04,-5.3,2,-2.86,-2.1,5.17,-1,-17,-10,-6.11,-10.31,6.02,-0.5,5,-1.38,2.52,2.61,7,-7,-3,,-1.8,-1.22,-0.9,-0.7,-3,-3,-10.5,,-4.77,,-7.57,-0.5,2.78,-4.94,0.5,2.43,-2.3,1.6,-1.22,-1.6,-0.6,1,-3,-7.3,-1.2,-3.15,-1.1,1,4,-4.5,-3.9,-0.29,-2.85,5.05,1,-11,-0.6,,-2.86,3,4.45,-1.18,-2.2,-1.86,-0.62,4.5579256081,30,26,3
Green Bay,Cincinnati,7,9.52,7.82,6,7.84,9.86,5.16,13,14,6,7.41,9.31,15.29,14.55,12.27,9.01,12.52,12.59,7,7,7,,9.9,9.24,9.72,9.1,8.5,9,14.25,,7.44,,7.71,10.8,17.44,8.46,9.5,7,11.6,8.2,9.1,11.9,17.3,7,7,14,5.3,8.57,8.7,7.5,15,8,5.4,10.98,9.8,18.2,8,5,12.12,,8.24,17.5,6.37,8.4,7.4,3.27,8.81,3.5004860799,24,27,3
Indianapolis,Cleveland,-1,6.55,9.19,4,5.71,2.8,-0.6,6,12,2,8.04,9.37,-1.83,-1.19,-1.65,7.28,-6.41,-6.71,-12.7,8,-0.5,,1.2,6.99,6.24,3,-2,-2.5,8.46,,8.03,,1.23,3.4,3,6.36,2.9,-1.29,-4.43,3.9,3,-1.8,0.6,0.01,7,1.6,-4.6,1.33,2.3,0.01,-21,8,5.2,-0.83,15.8,-11.4,3,-5,12.27,,6.46,-1,-7.1,-2.67,8.7,7.06,4.08,6.3269475807,28,31,3
Jacksonville,Baltimore,-3,-5.85,-3.59,-5,-7.14,-6.67,-5.03,-5,-9,-1,-6.91,0.2,-13.6,-8.29,-12.75,-5.51,-16.01,-16.16,-7,-10,-3.5,,-6.1,-5.58,-6.06,-7.9,-3.5,-4,-6.97,,-4.68,,-8.21,-8.3,-6.42,-5.2,-7.8,-14.82,-9.76,-5,-5.85,-10.1,-2.3,-6,-2,-8.2,-1.9,-3.93,-8.2,-3.5,0.01,0.5,-2.4,-6.04,-12.27,-29.4,-5,-4,-2.21,,-5.43,-16.5,-10.79,-6.99,-4.7,0.63,-4.83,5.1698620537,7,44,3
LA Chargers,Kansas City,-3,-2.51,-3.56,-5,-7.11,-6.8,-3.91,-6,-13,-18,-8.96,-13.88,-5.82,-13.01,-3.05,-2.25,-8.03,-8.22,-7,-7,-3.5,,-5.6,-2.63,-2.44,-3.5,-3.5,-3.5,-13.73,,-6.18,,-12.75,-8.3,-13.36,-4.44,-4,-3.85,-9.13,-3.4,-6,-8.6,-12.8,-6,-6,-15,1.5,-5.43,-3.8,-3.5,-1,7,-3,-2.37,-11.13,-8.2,-3,-12,-10.82,,-6.83,-13.5,-9.4,-3.68,-0.5,0.37,-4.62,4.836609502,24,10,3
