Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepasteur,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linebmc,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesage,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineshark,linemed,linekerns,linejens,lineash,lineffw,lineburd,linemrr,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,lineps,linegametime,lineshadow,linedoi,linexwp,linelinx,linecombo,linegirl,linestjohn,lineppg,linel2to,linelock,linefeng,lineiron,linekalin,linenseye,linestd,rscore,hscore,week
Washington,St. Louis,-3,-1.45,-2.01,0.25,-6.01,-3.1,,-2,-3.14,-1.81,-5,-5.45,-0.93,-3.15,-1.36,-10.48,-0.28,-1.86,-6.18,,-5.48,-8.75,-11,-3,,-2.8,-0.69,-1.41,-1,-3.5,-3,-4.24,9.84,,-4,,-3.41,-2,,-3.49,-4.3,-2.49,-8.42,-2.4,-2.85,-7.6,-10.2,1,-8,-13.1,,-6.63,-1.3,-2,-1.5,,3,-2.9,-1.47,-6.16,7.9,,1,1,-3.62,,-9.96,-4.5,,-1.19,0.56,-3.3,,-4.1,-2.05,-4.15,,4.0057805634,10,24,2
Arizona,San Francisco,7,7.77,4.13,5,6.34,6.31,-0.34,9,3.05,7.13,3,6.35,7.4,6.24,15.92,6.14,3.94,7.53,3.91,,5.54,7.56,8,7,,7.7,7.33,7.89,7.7,7,6.5,,5.5,,6,,2.35,8.9,,6.05,9.2,3.06,9.41,8.82,6.24,12.5,7.2,6,7,11.3,,6.9,8.7,5.5,7.5,5,1.5,-1,8.84,3.38,9.95,,7,3,5.01,,5.91,2,,5.58,2.05,5.14,,9,5.48,5.68,,2.8925081475,7,47,3
Baltimore,Cincinnati,3,0.84,5.25,-1,4.62,0.7,-0.12,4,0.52,1.67,1,-2.5,5.75,-0.43,-9.43,-5.21,6.11,-0.85,0.59,,-0.34,-3.24,4,3,,-0.5,1.44,1.27,4.1,2.5,2.5,,0.56,,3,,6.15,-3.6,,5.05,2.4,-1.6,-3.35,3.35,1.27,-11.8,-5,-1,6,0.4,,2.05,4.7,5,-2,-9,4.5,-1.6,2.18,-4.04,-8.85,,2,-4,4.1,,-2.85,1,,2.8,4.67,-0.17,,5.1,2.11,2.1,,4.1616776849,28,24,3
Carolina,New Orleans,10,6.28,3.63,9,4.41,7.79,4,4,15.58,11.62,3,13.35,1.09,12.34,18.11,19.14,2.54,8.03,6.35,,10.42,-2.76,11,10,,6.7,5.56,5.91,5.9,3,3.5,,16.31,,5,,6.51,10.3,,4.76,9.9,4.76,14.01,3.1,6.28,16.4,17.6,9,6,22.3,,4.68,5.9,3.5,6.5,11,0.01,-3.4,8.68,11.53,21.8,,4.5,-1,0.05,,14.82,15,,3.4,-0.53,3.61,,2,5.81,6.42,,5.8733399884,22,27,3
Cleveland,Oakland,3.5,4.13,6.58,4,5.43,4.52,1,1,5.42,5.09,3,1.61,1.66,3.89,4.82,7.02,7.34,4.31,6.68,,7.66,6.78,3,3.5,,3.9,3.96,4.12,6.9,3,4.5,,0.71,,4,,5.05,4.4,,6.15,0.4,0.13,5.58,6.07,4.18,6.4,10.2,5,4,2.3,,1.94,8.5,7.5,3.5,15,3.5,4,4.99,-3.23,14.9,,5.5,1,5.79,,-3.35,4,,4.7,4.88,4.18,,2.6,5,3.3,,3.191105541,27,20,3
Dallas,Atlanta,-2,6.32,9.37,6,7.28,6.09,3.82,6,7.15,5.18,-3,4.73,6.67,4.6,5.36,4.16,7.15,6.07,2.55,,0.33,-6.32,12,-0.5,,1.5,6.62,6.38,12.4,0,-1.5,,11.7,,7,,10.83,3.9,,6.66,11,2.05,7.83,0.88,6.32,7,8.9,5,13,12.5,,-0.26,12.7,8.5,0.01,5,5,3.1,0.38,7.06,4.45,,2.5,3,7.6,,8.85,8,,4.5,6.47,2.98,,9.3,6.2,5.47,,3.4025767915,39,28,3
Detroit,Denver,-3,-3.87,-1.66,-3,-2.91,-4.21,0.29,-4,-1.98,-1.69,-2,-10.16,-5.54,-2.43,-7.28,-10.08,0.91,-5.48,-6.12,,-7.21,-0.78,-4,-3,,-4.7,-3.99,-3.45,-1.4,-3,-3,,-11.85,,-3,,-3.6,-6.4,,-4.04,-2.4,-4.41,-10.3,1.85,-3.6,-12.4,-12.2,-3,-3,-8.8,,-5.24,-1.3,1,-3,-9,-2.5,-3.9,-3.78,-7.87,-5.3,,-1,2,-1.37,,-7.97,0.01,,-2.18,-7.06,-6.62,,-1.7,-1.22,-0.97,,3.4635567341,24,12,3
Green Bay,Kansas City,6.5,7.41,5.2,4,7.3,6.33,-0.7,9,8.36,5.38,14,3.03,4.58,5.33,9.28,5.26,3.73,8,2.22,,-1.34,9.82,7,6.5,,6.6,7.94,7.21,11.5,7.5,6.5,,10.04,,4,,5.36,6.8,,5.86,9,1.13,4.72,6.22,6.55,6,3.5,3,8,10.3,,8.09,11.8,6.5,5.5,-3,8.5,5.1,6.86,8.66,5.15,,9,9,6.55,,10.38,9.5,,6.85,9.72,-1.54,,8.8,4.82,5.41,,3.2485652221,28,38,3
Houston,Tampa Bay,7,7.16,12.95,6,7.43,9.18,-0.06,6,12.43,2.9,4,14.85,12.03,3.32,4.48,12,9.13,5.68,11.66,,11.53,6.87,13,7,,6.4,6.9,7.65,8.5,7,6.5,,12.48,,8,,14.41,6.3,,9.75,9.1,8.48,15.65,7.82,8.38,10.7,13.6,11,15,17.5,,8.38,8.5,16.5,6.5,15,4.5,6.2,10.22,12.4,15.1,,5,4,7.77,,6.77,12,,6.79,7.94,8.84,,8,6.36,7.81,,3.7820763979,9,19,3
Miami,Buffalo,3,3.13,-0.17,1,0.56,-0.35,-0.2,2,-9.76,2.97,2,-12.37,4.94,3.44,3.46,-4.16,1.62,3.57,-5.93,,2,-1.91,-6,3,,1.4,3.65,2.95,0.1,2.5,2.5,,-11.82,,-1,,-2.27,-0.2,,0.55,1,-2.84,-6.29,2.97,0.99,-2,-2,0.01,4,-10.9,,-0.61,-0.8,4,1.5,5,1.5,-2.5,2.25,-8.61,4.5,,4,-3,4.44,,-8.87,-11,,2.74,4.81,-1.76,,4,0.86,0.99,,4.4881729779,41,14,3
