,year,name,grade,age,draft,prev.grade,model.weight,prev.attempts,last.grade,last.attempts,prior,posterior,pred,
194,2015,Colt McCoy,48.1,-1.01026694,85,60.99392739,11,831,61.5,128,73.52860382,69.05999974,64.62240396,
218,2015,Derek Anderson,49.8,2.214921287,31,69.24410532,6,1537,70,97,73.52860382,71.36025538,67.61205243,
221,2015,Derek Carr,77.9,-5.568788501,36,50.1,573,599,50.1,599,73.52860382,66.84268972,67.95446927,
247,2015,Drew Brees,90.1,6.628336756,32,87.96667176,627,5649,89.1,659,73.52860382,84.93728277,88.70887622,
256,2015,Drew Stanton,62.2,1.32,43,50.62488821,25,427,50.6,240,73.52860382,68.45341619,65.76274239,
267,2015,Eli Manning,67.3,4.65982204,1,71.28717318,618,4855,70.9,601,73.52860382,71.8162284,73.98955081,
272,2015,Geno Smith,62.3,-5.106091718,39,57.98365673,42,810,57,367,73.52860382,68.07777822,66.77512133,
312,2015,Jimmy Garoppolo,66.9,-6.168377823,62,53.1,4,27,53.1,27,73.52860382,73.16739079,68.41339173,
326,2015,Joe Flacco,65.6,0.624229979,18,73.80105551,413,3657,76.2,554,73.52860382,73.72180836,75.34936884,
335,2015,Joe Webb,45.6,-1.2,199,45.44782609,0,152,62.6,0,73.52860382,70.9449003,63.6915814,
347,2015,Josh McCown,60.3,6.162902122,81,60.05889849,292,802,54.7,327,73.52860382,68.83585678,66.57998217,
363,2015,Kirk Cousins,71.6,-2.965092402,102,57.26390393,543,407,58.1,204,73.52860382,70.05732283,66.30381061,
397,2015,Matt Cassel,52.4,3.293634497,230,57.26159534,204,2345,48.8,71,73.52860382,63.60763246,55.88302915,
406,2015,Matt Ryan,82.1,0.292950034,3,83.11122379,614,3916,84.8,628,73.52860382,80.45724854,83.82675038,
417,2015,Matt Schaub,51.2,4.186173854,90,62.42294076,80,3057,24.4,10,73.52860382,66.07852439,59.97308061,
425,2015,Matthew Stafford,67.9,-2.43394935,1,71.46953437,592,3099,68.4,602,73.52860382,72.14111606,74.36032922,
431,2015,Mike Glennon,66.2,-4.28,73,39.51006711,0,619,63.8,203,73.52860382,63.59114548,59.54488998,
462,2015,Nick Foles,59.2,-3.386721424,88,67.52051401,337,893,65.1,311,73.52860382,71.28655443,69.02212041,
487,2015,Philip Rivers,82.1,3.731690623,4,79.21405556,661,4648,77.8,570,73.52860382,77.82690891,80.27172794,
502,2015,Russell Wilson,83.9,-3.244353183,3,77.29168786,483,1252,74.5,452,73.52860382,75.24058827,76.14642248,
516,2015,Ryan Fitzpatrick,65.8,2.770704997,250,70.73989459,562,2776,74.4,312,73.52860382,71.71816023,67.18432335,
522,2015,Ryan Tannehill,69.8,-2.902121834,8,76.38478937,586,1662,75.7,590,73.52860382,75.02986264,77.33101999,
531,2015,Teddy Bridgewater,71.5,-7.192334018,32,75.6,447,402,75.6,402,73.52860382,73.9664068,73.77825488,
547,2015,Tom Brady,91.9,8.079397673,199,82.21235052,624,4620,82.4,582,73.52860382,80.08398123,80.10136246,
563,2015,Tyrod Taylor,78.3,-3.920602327,180,65.59825961,380,35,34.1,0,73.52860382,73.34778164,66.62692084,
1,2016,A.J. McCarron,60,-4.032169747,164,64.7,0,119,64.7,119,73.52860382,72.87968235,67.62283685,CIN
219,2016,Aaron Rodgers,91.4,2.749486653,24,85.68940758,610,4031,78.1,572,73.52860382,82.39141343,85.06362123,GB
313,2016,Alex Smith,77.4,2.319644079,1,71.4168379,489,3454,70.5,470,73.52860382,72.05625027,72.84117334,KC
47,2016,Andrew Luck,90.4,-3.030116359,1,70.92920901,545,2106,50.1,293,73.52860382,72.01048805,70.87950765,IND
